"ID","日期","縣市別","(A) 總人口數","新增接種人次","(B) 累計接種人次","(B/A) 疫苗覆蓋率 (%)","(C) 累計配送量 (劑)","(C-B) 剩餘量 (劑)","(C-B/C) 剩餘量 (%)","AZ新增接種人次","AZ累計接種人次","AZ疫苗覆蓋率 (%)","AZ累計配送量 (劑)","AZ剩餘量 (劑)","AZ剩餘量 (%)","Moderna新增接種人次","Moderna累計接種人次","Moderna疫苗覆蓋率 (%)","Moderna累計配送量 (劑)","Moderna剩餘量  (劑)","Moderna剩餘量 (%)"
"1014","2021-07-16","新北市","4,026,019","尚無資料","822,556","20.4%","1,129,630","314,602","27.9%","尚無資料","320,947","8.0%","575,300","280,270","48.7%","尚無資料","501,609","12.5%","554,330","34,332","6.0%"
"1013","2021-07-16","臺北市","2,574,704","尚無資料","753,987","29.3%","1,008,534","244,184","24.2%","尚無資料","340,309","13.2%","517,710","197,920","38.2%","尚無資料","413,678","16.1%","490,824","46,264","9.0%"
"1018","2021-07-16","高雄市","2,758,494","尚無資料","603,442","21.9%","741,342","167,774","22.6%","尚無資料","262,077","9.5%","381,900","140,030","36.7%","尚無資料","341,365","12.4%","359,442","27,744","8.0%"
"1016","2021-07-16","臺中市","2,820,114","尚無資料","526,278","18.7%","675,040","169,998","25.2%","尚無資料","245,675","8.7%","381,400","155,880","40.9%","尚無資料","280,603","9.9%","293,640","14,118","5.0%"
"1015","2021-07-16","桃園市","2,270,939","尚無資料","491,383","21.6%","605,686","135,575","22.4%","尚無資料","216,061","9.5%","314,590","120,360","38.3%","尚無資料","275,322","12.1%","291,096","15,215","5.0%"
"1017","2021-07-16","臺南市","1,870,343","尚無資料","345,752","18.5%","436,860","112,693","25.8%","尚無資料","160,649","8.6%","243,500","101,400","41.6%","尚無資料","185,103","9.9%","193,360","11,293","6.0%"
"1020","2021-07-16","彰化縣","1,261,770","尚無資料","225,743","17.9%","291,600","77,134","26.4%","尚無資料","113,077","9.0%","169,300","66,040","39.0%","尚無資料","112,666","8.9%","122,300","11,094","9.0%"
"1022","2021-07-16","屏東縣","809,130","尚無資料","181,043","22.4%","216,540","43,902","20.3%","尚無資料","77,777","9.6%","110,260","40,360","36.6%","尚無資料","103,266","12.8%","106,280","3,542","3.0%"
"1021","2021-07-16","雲林縣","674,152","尚無資料","120,464","17.9%","168,300","53,183","31.6%","尚無資料","61,377","9.1%","100,000","45,110","45.1%","尚無資料","59,087","8.8%","68,300","8,073","12.0%"
"1026","2021-07-16","苗栗縣","540,917","尚無資料","92,523","17.1%","111,100","23,506","21.2%","尚無資料","46,343","8.6%","60,800","18,530","30.5%","尚無資料","46,180","8.5%","50,300","4,976","10.0%"
"1028","2021-07-16","嘉義縣","497,172","尚無資料","91,680","18.4%","110,956","26,169","23.6%","尚無資料","44,179","8.9%","62,600","21,570","34.5%","尚無資料","47,501","9.6%","48,356","4,599","10.0%"
"1024","2021-07-16","宜蘭縣","452,334","尚無資料","87,465","19.3%","116,860","34,883","29.9%","尚無資料","41,482","9.2%","68,000","31,500","46.3%","尚無資料","45,983","10.2%","48,860","3,383","7.0%"
"1025","2021-07-16","新竹市","452,450","尚無資料","83,923","18.6%","107,060","25,924","24.2%","尚無資料","40,398","8.9%","61,600","24,750","40.2%","尚無資料","43,525","9.6%","45,460","1,174","3.0%"
